образовав: корень-образова;суффикс-в;
скамейки: корень-скамей;суффикс-к;окончание-и;
столичных: корень-столич;суффикс-н;окончание-ых;
обидевшей: корень-обид;суффикс-евш;окончание-ей;
настрадалась: приставка-на;корень-страда;суффикс-л;окончание-а;суффикс-сь;
образовал: корень-образова;суффикс-л;
сиськах: корень-сись;суффикс-к;окончание-ах;
загрубевшую: приставка-за;корень-груб;суффикс-евш;окончание-ую;
неистощимыми: приставка-не;приставка-ис;корень-тощ;суффикс-им;окончание-ыми;
простынях: корень-простын;окончание-ях;
научается: приставка-на;корень-уч;суффикс-а;окончание-ет;суффикс-ся;
стекавшая: корень-стек;суффикс-авш;окончание-ая;
скоростном: приставка-с;корень-корост;суффикс-н;окончание-ом;
закаркали: приставка-за;корень-кар;суффикс-ка;суффикс-л;окончание-и;
певице: корень-пе;суффикс-в;суффикс-иц;окончание-е;
встретившегося: корень-встрет;суффикс-ивш;окончание-его;суффикс-ся;
брёвнышку: корень-брёвн;суффикс-ышк;окончание-у;
бобровому: корень-бобр;суффикс-ов;окончание-ому;
стряхивали: приставка-с;корень-трях;суффикс-ива;суффикс-л;окончание-и;
угасающего: приставка-у;корень-гас;суффикс-а;суффикс-ющ;окончание-его;
честного: корень-чест;суффикс-н;окончание-ого;
неяркого: приставка-не;корень-ярк;окончание-ого;
пароходства: корень-пароход;суффикс-ств;окончание-а;
экономику: корень-эконом;суффикс-ик;окончание-у;
крема: корень-крем;суффикс-а;
срубленного: приставка-с;корень-рубл;суффикс-енн;окончание-ого;
гладкую: корень-гладк;окончание-ую;
безапелляционная: приставка-без;корень-апелляци;суффикс-онн;окончание-ая;
наливки: приставка-на;корень-ли;суффикс-в;суффикс-к;окончание-и;
продержавшись: приставка-про;корень-держав;суффикс-ш;суффикс-и;суффикс-сь;
навеваемый: приставка-на;корень-веваем;окончание-ый;
режиссерство: корень-режисс;суффикс-ер;суффикс-ств;окончание-о;
ругают: корень-руг;суффикс-а;окончание-ют;
вырастающий: приставка-вы;корень-раст;суффикс-а;суффикс-ющ;окончание-ий;
колечек: корень-колеч;суффикс-ек;окончание-;
безопасно: корень-безопасно;
выдранные: корень-выдр;суффикс-анн;окончание-ые;
ландышевые: корень-ландыш;суффикс-ев;окончание-ые;
смешных: корень-смеш;суффикс-н;окончание-ых;
застудили: приставка-за;корень-студи;суффикс-л;окончание-и;
примеряющей: корень-пример;суффикс-я;суффикс-ющ;окончание-ей;
спальная: приставка-с;корень-паль;суффикс-н;окончание-ая;
защитное: корень-защит;суффикс-н;окончание-ое;
пристала: приставка-при;корень-стал;окончание-а;
стелимся: корень-стел;окончание-им;суффикс-ся;
астрой: корень-астр;окончание-ой;
меньшее: корень-меньш;окончание-ее;
спускавшегося: приставка-с;корень-пуск;суффикс-авш;окончание-его;суффикс-ся;
окрашенного: приставка-о;корень-краш;суффикс-енн;окончание-ого;
зазорно: корень-зазорно;
хвороста: корень-хворост;суффикс-а;
прервано: приставка-пре;корень-рв;суффикс-ан;окончание-о;
гольфов: корень-гольф;окончание-ов;
срывались: приставка-с;корень-рыв;суффикс-а;суффикс-л;окончание-и;суффикс-сь;
отдёрнул: приставка-от;корень-дёрн;суффикс-у;суффикс-л;
пропалывай: корень-пропал;суффикс-ыва;суффикс-й;
пропалывал: корень-пропал;суффикс-ыва;суффикс-л;
разрешимые: корень-разреш;суффикс-им;окончание-ые;
замазки: приставка-за;корень-маз;суффикс-к;окончание-и;
расставшись: корень-расста;суффикс-вш;суффикс-и;суффикс-сь;
качнуло: корень-кач;суффикс-ну;суффикс-л;окончание-о;
решилось: корень-реш;суффикс-и;суффикс-л;окончание-о;суффикс-сь;
выкошен: корень-вык;суффикс-ош;суффикс-ен;окончание-;
меньшем: корень-меньш;окончание-ем;
сушившаяся: корень-суш;суффикс-ивш;окончание-ая;суффикс-ся;
выживет: приставка-вы;корень-жив;окончание-ет;
взмывают: приставка-вз;корень-мы;суффикс-ва;окончание-ют;
предпринятая: корень-предприня;суффикс-т;окончание-ая;
оборвался: приставка-о;корень-бор;суффикс-ва;суффикс-л;суффикс-ся;
начинена: корень-начин;суффикс-ен;окончание-а;
практичные: корень-практ;суффикс-ичн;окончание-ые;
выпрашивает: приставка-вы;корень-праш;суффикс-ива;окончание-ет;
подойду: приставка-подо;корень-йд;окончание-у;
убеждены: корень-убежд;суффикс-ен;окончание-ы;
умирающими: приставка-у;корень-мир;суффикс-а;суффикс-ющ;окончание-ими;
мысленное: корень-мысл;суффикс-енн;окончание-ое;
бредущего: корень-бред;суффикс-ущ;окончание-его;
вязанного: корень-вяз;суффикс-анн;окончание-ого;
текущую: корень-тек;суффикс-ущ;окончание-ую;
отмучилась: приставка-от;корень-муч;суффикс-и;суффикс-л;окончание-а;суффикс-сь;
назойливым: корень-назой;суффикс-лив;окончание-ым;
радовавшая: корень-рад;суффикс-ова;суффикс-вш;окончание-ая;
определяющие: корень-определ;суффикс-я;суффикс-ющ;окончание-ие;
здоровущего: корень-здоров;суффикс-ущ;окончание-его;
приумножишь: приставка-при;приставка-у;корень-множ;окончание-ишь;
обж: корень-обж;окончание-;
таращились: корень-таращ;суффикс-и;суффикс-л;окончание-и;суффикс-сь;
помолчи: приставка-по;корень-молч;суффикс-и;
весёл: корень-весёл;окончание-;
выжигаемое: приставка-вы;корень-жигаем;окончание-ое;
недобираешь: приставка-недо;корень-бир;суффикс-а;окончание-ешь;
репетиции: корень-репет;суффикс-иц;окончание-ии;
потянувшаяся: корень-пот;суффикс-ян;суффикс-у;суффикс-вш;окончание-ая;суффикс-ся;
взломав: приставка-вз;корень-лом;суффикс-ав;
князю: корень-княз;окончание-ю;
вcполье: приставка-вc;корень-поль;окончание-е;
крохотным: корень-крохо;суффикс-т;суффикс-н;окончание-ым;
колыбелей: приставка-ко;корень-лы;суффикс-б;суффикс-ел;окончание-ей;
правивший: корень-прав;суффикс-ивш;окончание-ий;
отчаялся: корень-отча;суффикс-я;суффикс-л;суффикс-ся;
сероватое: корень-сер;суффикс-оват;окончание-ое;
поверья: корень-поверь;окончание-я;
привозили: приставка-при;корень-воз;суффикс-и;суффикс-л;окончание-и;
сероватом: корень-сер;суффикс-оват;окончание-ом;
